"도형번호","지형지물부호","관리번호","관리부서","CCTV구분","CCTV관리번호","개소명","행정읍면동","법정읍면동","법정읍면동리","번지","통신망","카메라 구분","위도(degree)","경도(degree)","X좌표","Y좌표","카메라 수","동/서","비고"
444,AE134,3888,스마트도시과,CTV001,황계-3903,황계동173-25-검지(20차),"41590570","41590122","4159012200","173-25",자가망, ,"37.222113","127.009659","200857.229821544","513663.039202518","1",CTM001, 
2812,AE134,2651,스마트도시과,CTV001,남양(뉴)-02679,남양리1856-17,"41590262","41590262","4159026221","185617",남양뉴타운자가망, ,"37.195585","126.834663","185320.825696832","510731.625114141","4",CTM002, 
2813,AE134,3110,스마트도시과,CTV001,남양-03145,은장고개,"41590262","41590262","4159026221","263-2",자가망, ,"37.202882","126.79325","181645.836779362","511548.755249863","1",CTM002, 
2814,AE134,3514,스마트도시과,CTV001,남양-3528,남양리902-어안(20차),"41590262","41590262","4159026221","902",자가망, ,"37.200397","126.804799","182670.537201923","511270.722434713","1",CTM002, 
2815,AE134,3516,스마트도시과,CTV001,남양-3530,남양리1225-1-어안(20차),"41590262","41590262","4159026221","1225-1",자가망, ,"37.209234","126.817218","183774.976669746","512249.3238425","1",CTM002, 
2816,AE134,3518,스마트도시과,CTV001,남양-3532,남양리92-12-검지(20차),"41590262","41590262","4159026221","82-12",자가망, ,"37.213455","126.811615","183278.509430951","512718.752171348","3",CTM002, 
2817,AE134,3519,스마트도시과,CTV001,남양-3533,남양리104-검지(20차),"41590262","41590262","4159026221","104",자가망, ,"37.214643","126.809122","183057.508143194","512850.985990797","1",CTM002, 
2818,AE134,3520,스마트도시과,CTV001,남양-3534,남양리91-검지(20차),"41590262","41590262","4159026221","91",자가망, ,"37.213327","126.810419","183172.347910032","512704.791510533","3",CTM002, 
2819,AE134,3521,스마트도시과,CTV001,남양-3535,남양리84-1-검지(20차),"41590262","41590262","4159026221","84-1",자가망, ,"37.21164","126.811603","183277.017020819","512517.289093993","1",CTM002, 
2820,AE134,3522,스마트도시과,CTV001,남양-3536,남양리62-검지(20차),"41590262","41590262","4159026221","62",자가망, ,"37.212334","126.815586","183630.760435153","512593.692427356","1",CTM002, 
2821,AE134,3523,스마트도시과,CTV001,남양-3537,남양리581-검지(20차),"41590262","41590262","4159026221","581",자가망, ,"37.20843","126.812185","183328.016105606","512160.923935644","1",CTM002, 
2822,AE134,3524,스마트도시과,CTV001,남양-3538,남양리2005-검지(20차),"41590262","41590262","4159026221","2005",자가망, ,"37.210479","126.802755","182491.404900104","512390.048714851","1",CTM002, 
2823,AE134,3525,스마트도시과,CTV001,남양-3539,남양리981-29-어안(20차),"41590262","41590262","4159026221","981-29",KT, ,"37.198475","126.797535","182025.147234163","511058.791227686","1",CTM002, 
2824,AE134,3526,스마트도시과,CTV001,남양-3540,남양리1064-1-어안(20차),"41590262","41590262","4159026221","1064-1",KT, ,"37.195084","126.796318","181916.373223825","510682.717522293","1",CTM002, 
2826,AE134,4266,스마트도시과,CTV001,남양-04281,남양3호근린공원(25차),"41590262","41590262","4159026221","2060",KT, ,"37.202033","126.830883","184986.558355402","511447.918382729","5",CTM002, 
2827,AE134,4267,스마트도시과,CTV001,남양-04282,워시렌드세차장앞(25차),"41590262","41590262","4159026221","2038",KT, ,"37.206017","126.828067","184737.308873968","511890.445082606","4",CTM002, 
