도형번호,지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,대장초기화여부,납품업체,로딩일자
12902,AE914,500835,41590520,377130147D,MNG244,1, ,
12903,AE915,102235,41590253,376160553D,MNG244,1, ,
12904,AE914,301031,41590340,376150568C,MNG244,1, ,
12905,AE914,500912,41590520,377130150C,MNG244,1, ,
12906,AE913,2.15304E+11,41590590,377130394B,MNG244,1, ,
12907,AE913,2.15304E+11,41590590,377130394B,MNG244,1, ,
12908,AE913,2.15304E+11,41590590,377130385D,MNG244,1, ,
12909,AE914,102889,41590253,376160565D,MNG244,1, ,
12910,AE914,100125,41590253,376160512C,MNG244,1, ,
12911,AE915,506794,41590570,377130183C,MNG244,1, ,
12912,AE915,100182,41590253,376160522B,MNG244,1, ,
12913,AE916,102912,41590570,376160570D,MNG244,1, ,
12914,AE915,107716,41590410,376161067B,MNG244,1, ,
12915,AE914,501232,41590520,377130166D,MNG244,1, ,
12916,AE914,502731,41590570,377130193B,MNG244,1, ,
12917,AE915,506395,41590570,377130181A,MNG244,1, ,
12918,AE915,105792,41590410,376161016B,MNG244,1, ,
12919,AE914,109663,41590410,376161528B,MNG244,1, ,
12920,AE915,100668,41590560,376160547B,MNG244,1, ,
12921,AE914,103216,41590253,376160480A,MNG244,1, ,
12922,AE914,200710,41590360,376160870D,MNG244,1, ,
12923,AE915,100981,41590253,376160446D,MNG244,1, ,
12924,AE913,500033,41590570,377130622A,MNG244,1, ,
12925,AE914,100007,41590253,376160511B,MNG244,1, ,
12926,AE915,506186,41590520,377130160A,MNG244,1, ,
12927,AE914,106108,41590253,376160928B,MNG244,1, ,
12928,AE914,502927,41590530,377130198A,MNG244,1, ,
12929,AE914,101044,41590253,376160542C,MNG244,1, ,
12930,AE915,301065,41590340,376150578B,MNG244,1, ,
12931,AE914,501281,41590520,377130176B,MNG244,1, ,
12932,AE914,503820,41590550,377130253B,MNG244,1, ,
12933,AE914,504220,41590570,377130191D,MNG244,1, ,
12934,AE914,4.21617E+13,41590570,377130182D,MNG244,1,㈜선진이엔씨,2018-08-01
12935,AE915,506831,41590570,377130184D,MNG244,1, ,
12936,AE914,505976,41590410,377131135B,MNG244,1, ,
12937,AE914,505368,41590410,377130693A,MNG244,1, ,
14441,AE914,504753,41590520,377130609B,MNG244,1, ,
14442,AE914,201880,41590259,376161442B,MNG244,1, ,
14443,AE915,203503,41590400,376161929A,MNG244,1, ,
14444,AE914,503543,41590550,377130234D,MNG244,1, ,
14445,AE915,110011,41590253,376160911B,MNG244,1, ,
14446,AE914,201669,41590259,376161433D,MNG244,1, ,
14447,AE915,104997,41590570,376160599C,MNG244,1, ,
14448,AE914,201023,41590360,376160890B,MNG244,1, ,
14449,AE914,8.88614E+11,41590259,376161438B,MNG244,1, ,
14450,AE914,8.88614E+11,41590259,376161424C,MNG244,1, ,
14451,AE914,426055,41590253,376160564C,MNG244,1, ,
14452,AE310,426056,41590253,376160564D,MNG244,1, ,
14453,AE914,102944,41590253,376160564D,MNG244,1, ,
14454,AE914,102919,41590253,376160564D,MNG244,1, ,
14455,AE914,102972,41590253,376160564D,MNG244,1, ,
14456,AE914,810165,41590262,376160284A,MNG244,1, ,
14457,AE915,810166,41590262,376160284C,MNG244,1, ,
14458,AE914,202552,41590400,376161940C,MNG244,1, ,
14459,AE914,106009,41590410,376161026B,MNG244,1, ,
14460,AE914,101555,41590560,376160555B,MNG244,1, ,
14461,AE914,100715,41590560,376160547B,MNG244,1, ,
14462,AE914,201731,41590259,376161432C,MNG244,1, ,
14463,AZ902,9.99161E+11,41590330,376160663C,MNG244,1, ,
14464,AE915,109985,41590253,376160902C,MNG244,1, ,
14465,AE914,2.11605E+11,41590253,376160533A,MNG244,1, ,
14466,AE914,2.11605E+11,41590253,376160533A,MNG244,1, ,
14467,AE914,2.11605E+11,41590253,376160533A,MNG244,1, ,
14468,AE914,104979,41590253,376160596D,MNG244,1, ,
14469,AE914,200543,41590360,376160868B,MNG244,1, ,
14470,AE915,99920150686,41590256,376162231B,MNG244,1, ,
14471,AE914,505645,41590410,377131115C,MNG244,1, ,
14472,AE916,100798,41590253,376160542A,MNG244,1, ,
14473,AE915,506465,41590570,377130183A,MNG244,1, ,
14474,AE914,105199,41590253,376160904B,MNG244,1, ,
14475,AE915,506770,41590570,377130183C,MNG244,1, ,
14476,AE914,501430,41590520,377130167D,MNG244,1, ,
14477,AE310,106018,41590410,376161026B,MNG244,1, ,
14478,AE914,107208,41590253,376160958B,MNG244,1, ,
14479,AE914,200152,41590360,376160817A,MNG244,1, ,
14480,AE915,506992,41590550,377130223D,MNG244,1, ,
14481,AE914,103157,41590253,376160566C,MNG244,1, ,
14482,AE914,102756,41590253,376160470A,MNG244,1, ,
14483,AE914,201236,41590259,376161422A,MNG244,1, ,
14484,AE915,203313,41590259,376161432D,MNG244,1, ,
14485,AE916,500308,41590540,377130178D,MNG244,1, ,
14486,AE914,106255,41590410,376161028D,MNG244,1, ,
14487,AE914,500629,41590520,377130138B,MNG244,1, ,
14488,AE915,102146,41590560,376160559C,MNG244,1, ,
14489,AE915,99920155295,41590600,377130835A,MNG244,1, ,
14490,AE915,99920155342,41590600,377130819C,MNG244,1, ,
14491,AE914,5.11308E+11,41590600,377130778D,MNG244,1, ,
